"Facility.ID","Facility.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.promoting.interoperability.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","MORT.Group.Measure.Count","Count.of.Facility.MORT.Measures","Count.of.MORT.Measures.Better","Count.of.MORT.Measures.No.Different","Count.of.MORT.Measures.Worse","Safety.Group.Measure.Count","Count.of.Facility.Safety.Measures","Count.of.Safety.Measures.Better","Count.of.Safety.Measures.No.Different","Count.of.Safety.Measures.Worse","READM.Group.Measure.Count","Count.of.Facility.READM.Measures","Count.of.READM.Measures.Better","Count.of.READM.Measures.No.Different","Count.of.READM.Measures.Worse","Pt.Exp.Group.Measure.Count","Count.of.Facility.Pt.Exp.Measures","TE.Group.Measure.Count","Count.of.Facility.TE.Measures","HAI_1_Score","HAI_2_Score","HAI_3_Score","HAI_4_Score","HAI_5_Score","HAI_6_Score"
"010036","ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL",36420,"COVINGTON","(334) 222-8466","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","5","0","5","0","8","4","0","4","0","11","7","0","7","0","8","8","12","5",NA,0,0,0,0,0
"010038","STRINGFELLOW CAMPUS OF NORTHEAST RMC","301 EAST 18TH ST","ANNISTON","AL",36201,"CALHOUN","(256) 235-8900","Acute Care Hospitals","Proprietary","Yes","","4","","7","4","0","4","0","8","4","1","3","0","11","8","1","7","0","8","8","12","5",0,0,0,0,0,1.27145581691036
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL",35801,"MADISON","(256) 265-1000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","2","","7","7","0","4","3","8","8","3","5","0","11","11","1","8","2","8","8","12","8",1.90243239570594,1.08664452372165,0.897182845863987,0.453446191051995,1.82249958579555,0.756105552335106
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL",35903,"ETOWAH","(256) 494-4000","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","7","0","7","0","8","7","2","5","0","11","9","0","7","2","8","8","12","9",1.43243673404425,0.382526203044909,0,0,2.19191427179737,0.0789141414141414
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL",35570,"MARION","(205) 921-6200","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","Not Available","16","7","3","0","3","0","8","1","0","1","0","11","5","0","5","0","8","Not Available","12","2",0,0,NA,NA,0,0
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL",35555,"FAYETTE","(205) 932-5966","Acute Care Hospitals","Voluntary non-profit - Other","Yes","Y","3","","7","3","0","3","0","8","2","0","2","0","11","5","0","5","0","8","8","12","6",0,4.46428571428571,0,NA,0,1.31061598951507
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL",35901,"ETOWAH","(256) 543-5200","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","6","0","6","0","8","6","2","4","0","11","8","0","5","3","8","8","12","5",1.76740897843761,0,0,NA,0.945626477541371,0.343210159020707
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL",36330,"COFFEE","(334) 347-0584","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","4","0","4","0","8","4","0","4","0","11","7","0","7","0","8","8","12","7",3.41880341880342,0,1.66389351081531,3.21543408360129,1.72117039586919,0.456933973040896
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","EUTAW","AL",35462,"GREENE","(205) 372-3388","Acute Care Hospitals","Government - Local","Yes","","Not Available","16","7","Not Available","Not Available","Not Available","Not Available","8","1","0","1","0","11","Not Available","Not Available","Not Available","Not Available","8","Not Available","12","Not Available",NA,0,NA,NA,0,0
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","DADEVILLE","AL",36853,"TALLAPOOSA","(256) 825-7821","Acute Care Hospitals","Proprietary","Yes","Y","Not Available","16","7","2","0","2","0","8","1","0","1","0","11","4","0","4","0","8","8","12","3",NA,0,NA,NA,0,0
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL",36305,"HOUSTON","(334) 793-5000","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","7","0","6","1","8","8","1","7","0","11","9","0","8","1","8","8","12","9",1.0669511869832,1.41768562821194,0,0.708466170740347,1.13250283125708,0.42448097553446
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL",35205,"JEFFERSON","(205) 939-7000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","4","","7","7","0","7","0","8","8","2","6","0","11","9","1","6","2","8","8","12","5",0.767620376831821,0.849347064444208,0.79699419332802,0.975927130774236,0.74930421751231,0.597523266062172
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","AL",35042,"BIBB","(205) 926-4881","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","Not Available","16","7","1","0","1","0","8","2","0","2","0","11","3","0","3","0","8","Not Available","12","2",0,0,NA,NA,0,0.897666068222621
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL",35650,"LAWRENCE","(256) 974-2200","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","7","3","0","3","0","8","1","0","1","0","11","5","0","5","0","8","Not Available","12","3",0,0,NA,NA,0,0
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL",35768,"JACKSON","(256) 259-4444","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","7","4","0","4","0","8","3","0","3","0","11","7","0","7","0","8","8","12","7",2.08116545265349,4.84261501210654,0,0,1.69491525423729,0.481231953801732
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL",36340,"GENEVA","(334) 684-3655","Acute Care Hospitals","Government - Hospital District or Authority","Yes","","4","","7","3","0","3","0","8","2","0","2","0","11","5","1","4","0","8","8","12","4",8.33333333333333,3.09597523219814,0,0,0,0
"010065","RUSSELL MEDICAL CENTER","3316 HIGHWAY 280","ALEXANDER CITY","AL",35010,"TALLAPOOSA","(256) 329-7100","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","5","","7","5","0","5","0","8","3","0","3","0","11","9","0","9","0","8","8","12","9",4.01606425702811,0,0,0,6.57894736842105,2.68384326355341
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL",36027,"BARBOUR","(334) 688-7271","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","2","","7","3","0","3","0","8","2","0","2","0","11","5","0","5","0","8","8","12","5",0,0,NA,NA,0,0
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL",36251,"CLAY","(256) 354-2131","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","4","","7","3","0","3","0","8","2","0","2","0","11","5","0","5","0","8","8","12","4",0,0,NA,NA,0,0
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL",36207,"CALHOUN","(256) 235-5121","Acute Care Hospitals","Government - Local","Yes","Y","2","","7","7","0","6","1","8","8","0","7","1","11","11","1","10","0","8","8","12","9",0.323939099449303,0.890471950133571,0,1.49253731343284,1.56494522691706,0.990896141698148
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL",35611,"LIMESTONE","(256) 233-9292","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","7","4","0","4","0","8","5","0","5","0","11","7","0","7","0","8","8","12","6",0.954198473282443,0,0,0,0.949667616334283,0.313627097381214
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL",36535,"BALDWIN","(251) 949-3400","Acute Care Hospitals","Proprietary","Yes","Y","4","","7","6","0","6","0","8","6","1","5","0","11","8","0","7","1","8","8","12","8",0,0.890273759180948,0,0,0.702247191011236,0.353513035793195
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL",35601,"MORGAN","(256) 341-2000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","2","","7","6","0","6","0","8","7","0","7","0","11","8","0","7","1","8","8","12","8",0.442771751162276,0.199282582702272,0,0,0.644122383252818,0.22000264003168
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL",35594,"FAYETTE","(205) 487-7736","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","3","0","3","0","8","2","0","2","0","11","6","0","6","0","8","8","12","3",0,1.6750418760469,0,0,9.34579439252336,0
"010087","USA HEALTH UNIVERSITY HOSPITAL","2451 FILLINGIM STREET","MOBILE","AL",36617,"MOBILE","(251) 471-7110","Acute Care Hospitals","Government - State","Yes","Y","3","","7","5","0","5","0","8","6","2","4","0","11","8","0","8","0","8","8","12","6",1.32211538461538,0.271296798697775,0.196966712625566,0,2.18715825652242,0.504213786645538
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL",35502,"WALKER","(205) 387-4000","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","3","","7","4","0","3","1","8","6","1","5","0","11","7","0","6","1","8","8","12","4",0.559284116331096,0.940733772342427,0.641025641025641,0,3.69822485207101,0.469515058018646
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL",36608,"MOBILE","(251) 633-1000","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Y","3","","7","7","0","6","1","8","8","2","6","0","11","9","0","7","2","8","8","12","4",0.471994965387036,0.708940527766837,0,0.735294117647059,0.765345170671973,0.651287869238203
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","AL",36451,"CLARKE","(251) 275-3191","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","Not Available","16","7","2","0","2","0","8","1","0","1","0","11","5","0","5","0","8","Not Available","12","2",0,0,NA,0,0,0
"010092","DCH REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL",35401,"TUSCALOOSA","(205) 759-7111","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","2","","7","7","0","7","0","8","8","2","5","1","11","11","0","9","2","8","8","12","7",1.84283891697774,0.61718870544669,0.935328701229289,0.988630746416214,1.14163939417003,0.527406753259496
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","AL",36744,"HALE","(334) 624-3024","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","Not Available","16","7","Not Available","Not Available","Not Available","Not Available","8","1","0","1","0","11","1","0","1","0","8","Not Available","12","1",NA,0,NA,NA,0,0
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","AL",36092,"ELMORE","(334) 567-4311","Acute Care Hospitals","Proprietary","Yes","Y","Not Available","16","7","Not Available","Not Available","Not Available","Not Available","8","1","0","1","0","11","3","0","3","0","8","8","12","3",NA,NA,NA,NA,0,0
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL",36426,"ESCAMBIA","(251) 867-8061","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","7","3","0","3","0","8","2","0","2","0","11","7","0","7","0","8","8","12","7",3.71747211895911,1.23609394313968,0,0,3.21543408360129,0
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL",36532,"BALDWIN","(251) 928-2375","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","3","","7","7","0","6","1","8","8","1","7","0","11","9","0","9","0","8","8","12","8",2.15982721382289,1.31348511383538,2.27208179494462,2.10084033613445,1.02933607822954,0.340290381125227
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL",35161,"TALLADEGA","(256) 761-4542","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","4","","7","3","0","3","0","8","2","0","2","0","11","5","0","5","0","8","8","12","5",0,1.16414435389988,NA,NA,0,1.22050447518308
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","CAMDEN","AL",36726,"WILCOX","(334) 682-4131","Acute Care Hospitals","Voluntary non-profit - Other","Yes","","Not Available","16","7","1","0","1","0","8","1","0","1","0","11","Not Available","Not Available","Not Available","Not Available","8","Not Available","12","2",0,0,NA,NA,0,0
"010103","PRINCETON BAPTIST MEDICAL CENTER","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL",35211,"JEFFERSON","(205) 783-3800","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Y","3","","7","7","0","7","0","8","7","3","3","1","11","9","0","8","1","8","8","12","5",0.539415889650921,0.26214037617144,0,2.39808153477218,0.448430493273543,0.203092813415731
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","BIRMINGHAM","AL",35243,"JEFFERSON","(205) 971-1000","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","7","0","6","1","8","8","3","5","0","11","9","0","8","1","8","8","12","8",0.34944089456869,1.0547132498352,0.731223232006685,0.990589400693413,0.833333333333333,0.369516188631643
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL",36067,"AUTAUGA","(334) 361-4267","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","5","","7","4","0","4","0","8","3","0","3","0","11","5","0","5","0","8","8","12","5",4.48430493273543,1.70648464163823,NA,NA,2.33100233100233,1.54302670623145
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","UNION SPRINGS","AL",36089,"BULLOCK","(334) 738-2140","Acute Care Hospitals","Proprietary","Yes","","Not Available","16","7","Not Available","Not Available","Not Available","Not Available","8","1","0","1","0","11","1","0","1","0","8","Not Available","12","1",0,0,NA,NA,0,0
"010112","WHITFIELD REGIONAL HOSPITAL","105 HIGHWAY 80 EAST","DEMOPOLIS","AL",36732,"MARENGO","(334) 289-4000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","","2","","7","3","0","3","0","8","2","0","2","0","11","7","0","6","1","8","8","12","3",2.0746887966805,0,12.1951219512195,NA,0,0
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL",36607,"MOBILE","(251) 435-4700","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","2","","7","7","0","5","2","8","8","1","5","2","11","11","0","8","3","8","8","12","9",0.894392844857241,0.711136395960745,1.10849383400305,0.548847420417124,1.19771512806339,0.286700983905649
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL",35021,"JEFFERSON","(205) 481-7000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","","3","","7","5","0","5","0","8","7","1","6","0","11","7","0","6","1","8","8","12","7",1.27951611027102,1.11172873818788,0,0,3.05543430816237,0.570161545771302
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL",36701,"DALLAS","(334) 418-4100","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","5","0","5","0","8","3","1","2","0","11","7","0","6","1","8","8","12","6",0,0,0,0,0,0.217864923747277
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","AL",36460,"MONROE","(251) 575-3111","Acute Care Hospitals","Government - Hospital District or Authority","Yes","","3","","7","4","0","4","0","8","1","0","1","0","11","5","0","5","0","8","8","12","4",0,0,0,NA,0,0
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","AL",35565,"WINSTON","(205) 485-7117","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Y","5","","7","3","0","3","0","8","2","0","2","0","11","4","1","3","0","8","8","12","4",0,0,NA,NA,0,0.70323488045007
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL",36081,"PIKE","(334) 670-5000","Acute Care Hospitals","Government - Federal","Yes","","4","","7","3","0","3","0","8","3","0","3","0","11","7","0","6","1","8","8","12","3",0,0,0,NA,0,0
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON","AL",36545,"CLARKE","(251) 246-9021","Acute Care Hospitals","Proprietary","Yes","Y","Not Available","16","7","3","0","3","0","8","1","0","1","0","11","4","0","3","1","8","Not Available","12","1",0,0,NA,NA,0,0
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL",36507,"BALDWIN","(251) 937-5521","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","3","","7","3","0","3","0","8","2","0","2","0","11","8","0","8","0","8","8","12","6",2.57731958762887,0,5.58659217877095,0,0,0
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","PELL CITY","AL",35125,"ST. CLAIR","(205) 338-3301","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Y","3","","7","4","0","4","0","8","2","0","2","0","11","6","0","5","1","8","8","12","5",0.968992248062015,0.903342366757001,0,NA,7.35294117647059,0.82549116724451
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL",35801,"MADISON","(256) 882-3100","Acute Care Hospitals","Proprietary","Yes","Y","3","","7","6","0","6","0","8","8","0","7","1","11","8","0","7","1","8","8","12","7",0,1.66389351081531,0.482858522452921,1.15740740740741,0.392618767177071,0.754665203073546
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","YORK","AL",36925,"SUMTER","(205) 392-5263","Acute Care Hospitals","Government - Hospital District or Authority","Yes","","Not Available","16","7","Not Available","Not Available","Not Available","Not Available","8","1","0","1","0","11","Not Available","Not Available","Not Available","Not Available","8","Not Available","12","2",NA,NA,NA,NA,0,0
"010139","BROOKWOOD BAPTIST MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL",35209,"JEFFERSON","(205) 877-1000","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","7","0","7","0","8","8","1","7","0","11","9","0","6","3","8","8","12","8",1.13579000504796,0.643224699828473,0.848356309650053,0.414021529119514,1.34680134680135,0.489829590863389
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","AL",36608,"MOBILE","(251) 344-9630","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","7","0","7","0","8","8","1","7","0","11","9","0","6","3","8","8","12","8",0.862998921251348,0.791974656810982,0.537923614846692,0,0.506329113924051,0.200440970134295
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN","AL",36401,"CONECUH","(251) 578-2480","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","4","0","4","0","8","2","0","2","0","11","5","0","5","0","8","8","12","4",0,0,NA,NA,0,0
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL",36117,"MONTGOMERY","(334) 244-8330","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Y","3","","7","4","0","4","0","8","7","2","3","2","11","6","0","6","0","8","8","12","7",2.2866770971236,1.59411404046597,0.175131348511384,0.559075661572866,1.43129770992366,0.586988423283874
"01014F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99487033342833,0.717617509867241,NA,NA,NA,NA
"010150","THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL",36037,"BUTLER","(334) 382-2200","Acute Care Hospitals","Proprietary","Yes","Y","2","","7","3","0","3","0","8","2","0","2","0","11","6","0","6","0","8","8","12","4",0,0,NA,NA,0,0
